fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2024-03-03,Marzo,2024,Línea 2,Prepago,107100,2024-03,2024
2024-03-03,Marzo,2024,Línea 2,Gratuidad,6433,2024-03,2024
2024-03-04,Marzo,2024,Línea 2,Prepago,250074,2024-03,2024
2024-03-04,Marzo,2024,Línea 2,Gratuidad,13801,2024-03,2024
2024-03-05,Marzo,2024,Línea 2,Prepago,262842,2024-03,2024
2024-03-05,Marzo,2024,Línea 2,Gratuidad,13319,2024-03,2024
2024-03-06,Marzo,2024,Línea 2,Prepago,258104,2024-03,2024
2024-03-06,Marzo,2024,Línea 2,Gratuidad,12480,2024-03,2024
2024-03-07,Marzo,2024,Línea 2,Prepago,269687,2024-03,2024
2024-03-07,Marzo,2024,Línea 2,Gratuidad,13570,2024-03,2024
2024-03-08,Marzo,2024,Línea 2,Prepago,224930,2024-03,2024
2024-03-08,Marzo,2024,Línea 2,Gratuidad,12058,2024-03,2024
2024-03-09,Marzo,2024,Línea 2,Prepago,169128,2024-03,2024
2024-03-09,Marzo,2024,Línea 2,Gratuidad,8672,2024-03,2024
2024-03-10,Marzo,2024,Línea 2,Prepago,115229,2024-03,2024
2024-03-10,Marzo,2024,Línea 2,Gratuidad,6333,2024-03,2024
2024-03-11,Marzo,2024,Línea 2,Prepago,241486,2024-03,2024
2024-03-11,Marzo,2024,Línea 2,Gratuidad,13602,2024-03,2024
2024-03-12,Marzo,2024,Línea 2,Prepago,252676,2024-03,2024
2024-03-12,Marzo,2024,Línea 2,Gratuidad,12056,2024-03,2024
2024-03-13,Marzo,2024,Línea 2,Prepago,258872,2024-03,2024
2024-03-13,Marzo,2024,Línea 2,Gratuidad,12758,2024-03,2024
2024-03-14,Marzo,2024,Línea 2,Prepago,250654,2024-03,2024
2024-03-14,Marzo,2024,Línea 2,Gratuidad,12993,2024-03,2024
2024-03-15,Marzo,2024,Línea 2,Prepago,263549,2024-03,2024
2024-03-15,Marzo,2024,Línea 2,Gratuidad,11951,2024-03,2024
2024-03-16,Marzo,2024,Línea 2,Prepago,175762,2024-03,2024
2024-03-16,Marzo,2024,Línea 2,Gratuidad,9595,2024-03,2024
2024-03-17,Marzo,2024,Línea 2,Prepago,92030,2024-03,2024
2024-03-17,Marzo,2024,Línea 2,Gratuidad,6936,2024-03,2024
2024-03-18,Marzo,2024,Línea 2,Prepago,117915,2024-03,2024
2024-03-18,Marzo,2024,Línea 2,Gratuidad,7082,2024-03,2024
2024-03-19,Marzo,2024,Línea 2,Prepago,253491,2024-03,2024
2024-03-19,Marzo,2024,Línea 2,Gratuidad,13792,2024-03,2024
2024-03-20,Marzo,2024,Línea 2,Prepago,260507,2024-03,2024
2024-03-20,Marzo,2024,Línea 2,Gratuidad,12304,2024-03,2024
2024-03-21,Marzo,2024,Línea 2,Prepago,255673,2024-03,2024
2024-03-21,Marzo,2024,Línea 2,Gratuidad,11530,2024-03,2024
2024-03-22,Marzo,2024,Línea 2,Prepago,244051,2024-03,2024
2024-03-22,Marzo,2024,Línea 2,Gratuidad,10595,2024-03,2024
2024-03-23,Marzo,2024,Línea 2,Prepago,163865,2024-03,2024
2024-03-23,Marzo,2024,Línea 2,Gratuidad,8477,2024-03,2024
2024-03-24,Marzo,2024,Línea 2,Prepago,115427,2024-03,2024
2024-03-24,Marzo,2024,Línea 2,Gratuidad,6422,2024-03,2024
2024-03-25,Marzo,2024,Línea 2,Prepago,190198,2024-03,2024
2024-03-25,Marzo,2024,Línea 2,Gratuidad,10805,2024-03,2024
2024-03-26,Marzo,2024,Línea 2,Prepago,200267,2024-03,2024
